,CITY_TOWN_NAME,CRASH_HOUR,DRVR_CNTRB_CIRC_CL,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON,DRVR_DISTRACTED_CL,CNTY_NAME,SPEED_LIMIT,SURFACE_TP,STRUCT_CND
0,NATICK,12,Reckless Driving,Not at junction,No controls,42.29234579,-71.32447742, D1: Passenger,MIDDLESEX,40.0,Bituminous concrete road,Fair
1,WRENTHAM,1,Diregarded traffic markings,Four-way intersection,Traffic control signal,42.0668786,-71.32785066," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,25.0,Bituminous concrete road,Fair
2,WRENTHAM,1,Diregarded traffic markings,Four-way intersection,Traffic control signal,42.0668786,-71.32785066," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,25.0,Bituminous concrete road,Fair
3,METHUEN,19,Distracted/Inattention,Not reported,No controls,42.70442197,-71.1909703," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,30.0,Bituminous concrete road,Fair
4,METHUEN,19,Distracted/Inattention,Not reported,No controls,42.70442197,-71.1909703," D1: Other activity (searching, eating, personal hygiene, etc.)",ESSEX,30.0,Bituminous concrete road,Fair
5,CHELSEA,19,Reckless Driving,Not at junction,No controls,42.40022452,-71.02173216," D1: Other activity (searching, eating, personal hygiene, etc.)",SUFFOLK,25.0,Bituminous concrete road,Deficient
6,CHELSEA,19,Reckless Driving,Not at junction,No controls,42.40022452,-71.02173216," D1: Other activity (searching, eating, personal hygiene, etc.)",SUFFOLK,25.0,Bituminous concrete road,Deficient
7,ARLINGTON,17,Tailgating,Not at junction,No controls,42.39936776,-71.1476069, D1: External distraction (outside the vehicle),MIDDLESEX,40.0,Bituminous concrete road,Good
8,ARLINGTON,17,Tailgating,Not at junction,No controls,42.39936776,-71.1476069, D1: External distraction (outside the vehicle),MIDDLESEX,40.0,Bituminous concrete road,Good
9,ARLINGTON,17,Tailgating,Not at junction,No controls,42.39936776,-71.1476069, D1: External distraction (outside the vehicle),MIDDLESEX,40.0,Bituminous concrete road,Good
10,DUXBURY,0,Reckless Driving,Y-intersection,No controls,42.03842219,-70.76401578," D1: Other activity (searching, eating, personal hygiene, etc.)",PLYMOUTH,30.0,Surface-treated road,Fair
11,TAUNTON,18,Distracted/Inattention,Four-way intersection,Traffic control signal,41.95965102,-71.12024512," D1: Other activity (searching, eating, personal hygiene, etc.)",BRISTOL,30.0,Surface-treated road,Good
12,EAST BRIDGEWATER,23,Distracted/Inattention,Y-intersection,Stop signs,42.02251835,-70.91783235, D1: Manually operating an electronic device,PLYMOUTH,30.0,Surface-treated road,Fair
13,ASHLAND,7,Other causes,Driveway,No controls,42.26314075,-71.47806327, D1: External distraction (outside the vehicle),MIDDLESEX,10.0,0,0
14,WRENTHAM,8,Distracted/Inattention,Not at junction,No controls,42.0607,-71.33405, D1: External distraction (outside the vehicle),NORFOLK,45.0,Bituminous concrete road,Good
15,WRENTHAM,8,Distracted/Inattention,Not at junction,No controls,42.0607,-71.33405, D1: External distraction (outside the vehicle),NORFOLK,45.0,Bituminous concrete road,Good
16,BILLERICA,17,Tailgating,Not at junction,No controls,42.53041294,-71.22858515, D1: External distraction (outside the vehicle),MIDDLESEX,35.0,Bituminous concrete road,Fair
17,BILLERICA,17,Tailgating,Not at junction,No controls,42.53041294,-71.22858515, D1: External distraction (outside the vehicle),MIDDLESEX,35.0,Bituminous concrete road,Fair
18,FOXBOROUGH,17,Tailgating,Not at junction,No controls,42.08176425,-71.27981672, D1: Manually operating an electronic device,NORFOLK,40.0,Bituminous concrete road,Fair
19,FOXBOROUGH,17,Tailgating,Not at junction,No controls,42.08176425,-71.27981672, D1: Manually operating an electronic device,NORFOLK,40.0,Bituminous concrete road,Fair
20,MILTON,23,Reckless Driving,Not at junction,No controls,42.2651101,-71.04615232," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,55.0,Bituminous concrete road,Good
21,MILTON,23,Reckless Driving,Not at junction,No controls,42.2651101,-71.04615232," D1: Other activity (searching, eating, personal hygiene, etc.)",NORFOLK,55.0,Bituminous concrete road,Good
